"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-108.104525937346
0.0084975,-89.5187209663774
0.015995,-84.0249096870997
0.0234925,-80.6860907602817
0.03099,-78.2803555661072
0.0384875,-76.3985353889554
0.045985,-74.8527786566192
0.0534825,-73.5410722246402
0.06098,-72.4017922639057
0.0684775,-71.3948478616634
0.075975,-70.4926874233488
0.0834725,-69.6755596525847
0.09097,-68.9288212987303
0.0984675,-68.2413147242103
0.105965,-67.6043425170902
0.1134625,-67.0109934293223
0.12096,-66.455684474095
0.1284575,-65.9338409542303
0.135955,-65.4416673879636
0.1434525,-64.9759800090354
0.15095,-64.5340819877735
0.1584475,-64.1136689301119
0.165945,-63.7127562446894
0.1734425,-63.3296225732163
0.18094,-62.962765201069
0.1884375,-62.610864526845
0.195935,-62.2727554682988
0.2034325,-61.9474042405648
0.21093,-61.6338893391822
0.2184275,-61.3313858461203
0.225925,-61.0391523854807
0.2334225,-60.7565202095397
0.24092,-60.4828840107998
0.2484175,-60.2176941425136
0.255915,-59.9604499962735
0.2634125,-59.7106943361068
0.27091,-59.4680084279356
0.2784075,-59.2320078340732
0.285905,-59.0023387666792
0.2934025,-58.7786749133261
0.3009,-58.5607146631788
0.3083975,-58.3481786746076
0.315895,-58.1408077350109
0.3233925,-57.938360871711
0.33089,-57.7406136793846
0.3383875,-57.5473568349121
0.345885,-57.3583947749951
0.3533825,-57.1735445155937
0.36088,-56.9926345953157
0.3683775,-56.8155041274602
0.375875,-56.6420019475788
0.3833725,-56.4719858452319
0.39087,-56.3053218701541
0.3983675,-56.1418837043457
0.405865,-55.9815520927116
0.4133625,-55.8242143258179
0.42086,-55.669763769144
0.4283575,-55.5180994339025
0.435855,-55.3691255850997
0.4433525,-55.2227513830245
0.45085,-55.0788905548019
0.4583475,-54.9374610930356
0.465845,-54.7983849789024
0.4733425,-54.6615879273547
0.48084,-54.526999152348
0.4883375,-54.3945511502317
0.495835,-54.2641794996457
0.5033325,-54.1358226764326
0.51083,-54.0094218822371
0.5183275,-53.8849208855924
0.525825,-53.7622658744205
0.5333225,-53.6414053189743
0.54082,-53.5222898443488
0.5483175,-53.4048721117689
0.555815,-53.2891067079402
0.5633125,-53.1749500418142
0.57081,-53.0623602481783
0.5783075,-52.9512970975383
0.585805,-52.8417219118054
0.5933025,-52.7335974853456
0.6008,-52.6268880109867
0.6082975,-52.5215590106154
0.615795,-52.4175772700249
0.6232925,-52.3149107777065
0.63079,-52.2135286673012
0.6382875,-52.1134011634515
0.645785,-52.0144995308157
0.6532825,-51.9167960260262
0.66078,-51.8202638523881
0.6682775,-51.724877117136
0.675775,-51.6306107910736
0.6832725,-51.5374406704423
0.69077,-51.4453433408703
0.6982675,-51.3542961432677
0.705765,-51.2642771415447
0.7132625,-51.1752650920345
0.72076,-51.0872394145166
0.7282575,-51.0001801647395
0.735755,-50.9140680083506
0.7432525,-50.8288841961493
0.75075,-50.7446105405816
0.7582475,-50.6612293934033
0.765745,-50.5787236244428
0.7732425,-50.4970766013989
0.78074,-50.4162721706137
0.7882375,-50.3362946387647
0.795735,-50.2571287554243
0.8032325,-50.1787596964369
0.81073,-50.1011730480693
0.8182275,-50.0243547918907
0.825725,-49.9482912903427
0.8332225,-49.8729692729621
0.84072,-49.7983758232208
0.8482175,-49.724498365951
0.855715,-49.6513246553229
0.8632125,-49.578842763349
0.87071,-49.5070410688838
0.8782075,-49.4359082470973
0.885705,-49.3654332593949
0.8932025,-49.2956053437638
0.9007,-49.2264140055217
0.9081975,-49.157849008451
0.915695,-49.0899003662965
0.9231925,-49.0225583346109
0.93069,-48.9558134029298
0.9381875,-48.8896562872617
0.945685,-48.8240779228765
0.9531825,-48.7590694573796
0.96068,-48.6946222440575
0.9681775,-48.6307278354821
0.975675,-48.5673779773624
0.9831725,-48.5045646026318
0.99067,-48.44227982576
0.9981675,-48.3805159372798
1.005665,-48.3192653985191
1.0131625,-48.2585208365289
1.02066,-48.1982750391979
1.0281575,-48.1385209505471
1.035655,-48.0792516661953
1.0431525,-48.0204604289877
1.05065,-47.9621406247824
1.0581475,-47.9042857783864
1.065645,-47.8468895496353
1.0731425,-47.7899457296106
1.08064,-47.7334482369896
1.0881375,-47.6773911145208
1.095635,-47.6217685256213
1.1031325,-47.5665747510898
1.11063,-47.5118041859318
1.1181275,-47.4574513362915
1.125625,-47.4035108164863
1.1331225,-47.3499773461404
1.14062,-47.2968457474126
1.1481175,-47.2441109423156
1.155615,-47.1917679501223
1.1631125,-47.1398118848566
1.17061,-47.0882379528648
1.1781075,-47.0370414504644
1.185605,-46.9862177616687
1.1931025,-46.9357623559816
1.2006,-46.8856707862636
1.2080975,-46.8359386866627
1.215595,-46.7865617706109
1.2230925,-46.7375358288809
1.23059,-46.6888567277041
1.2380875,-46.6405204069445
1.245585,-46.5925228783286
1.2530825,-46.5448602237282
1.26058,-46.4975285934949
1.2680775,-46.450524204844
1.275575,-46.4038433402859
1.2830725,-46.357482346104
1.29057,-46.3114376308768
1.2980675,-46.2657056640431
1.305565,-46.2202829745086
1.3130625,-46.1751661492922
1.32056,-46.1303518322116
1.3280575,-46.0858367226054
1.335555,-46.0416175740923
1.3430525,-45.9976911933639
1.35055,-45.9540544390122
1.3580475,-45.9107042203892
1.365545,-45.8676374964982
1.3730425,-45.8248512749152
1.38054,-45.7823426107399
1.3880375,-45.7401086055758
1.395535,-45.6981464065364
1.4030325,-45.6564532052797
1.41053,-45.6150262370677
1.4180275,-45.5738627798505
1.425525,-45.5329601533756
1.4330225,-45.4923157183198
1.44052,-45.4519268754443
1.4480175,-45.4117910647714
1.455515,-45.3719057647828
1.4630125,-45.3322684916385
1.47051,-45.2928767984153
1.4780075,-45.2537282743655
1.485505,-45.2148205441936
1.4930025,-45.1761512673516
1.5005,-45.1377181373521
1.5079975,-45.0995188810981
1.515495,-45.0615512582298
1.5229925,-45.0238130604879
1.53049,-44.9863021110912
1.5379875,-44.9490162641312
1.545485,-44.91195340398
1.5529825,-44.8751114447132
1.56048,-44.8384883295467
1.5679775,-44.802082030287
1.575475,-44.7658905467938
1.5829725,-44.7299119064569
1.59047,-44.6941441636842
1.5979675,-44.6585853994017
1.605465,-44.6232337205664
1.6129625,-44.5880872596892
1.62046,-44.5531441743695
1.6279575,-44.5184026468404
1.635455,-44.4838608835241
1.6429525,-44.4495171145982
1.65045,-44.4153695935706
1.6579475,-44.3814165968653
1.665445,-44.3476564234167
1.6729425,-44.3140873942727
1.68044,-44.2807078522082
1.6879375,-44.2475161613448
1.695435,-44.2145107067812
1.7029325,-44.18168989423
1.71043,-44.1490521496637
1.7179275,-44.1165959189671
1.725425,-44.0843196675983
1.7329225,-44.0522218802567
1.74042,-44.0203010605578
1.7479175,-43.9885557307149
1.755415,-43.9569844312286
1.7629125,-43.925585720581
1.77041,-43.8943581749382
1.7779075,-43.8633003878578
1.785405,-43.8324109700028
1.7929025,-43.8016885488619
1.8004,-43.7711317684745
1.8078975,-43.7407392891628
1.815395,-43.7105097872678
1.8228925,-43.680441954892
1.83039,-43.6505344996466
1.8378875,-43.6207861444035
1.845385,-43.5911956270533
1.8528825,-43.561761700267
1.86038,-43.5324831312635
1.8678775,-43.5033587015804
1.875375,-43.4743872068507
1.8828725,-43.4455674565826
1.89037,-43.4168982739449
1.8978675,-43.3883784955549
1.905365,-43.3600069712722
1.9128625,-43.3317825639951
1.92036,-43.3037041494615
1.9278575,-43.2757706160534
1.935355,-43.2479808646051
1.9428525,-43.2203338082152
1.95035,-43.1928283720619
1.9578475,-43.1654634932218
1.965345,-43.1382381204921
1.9728425,-43.1111512142161
1.98034,-43.0842017461118
1.9878375,-43.0573886991037
1.995335,-43.0307110671579
2.0028325,-43.0041678551195
2.01033,-42.977758078554
2.0178275,-42.9514807635903
2.025325,-42.9253349467676
2.0328225,-42.8993196748845
2.04032,-42.8734340048505
2.0478175,-42.847677003541
2.055315,-42.8220477476537
2.0628125,-42.7965453235687
2.07031,-42.7711688272097
2.0778075,-42.7459173639091
2.085305,-42.7207900482742
2.0928025,-42.6957860040561
2.1003,-42.6709043640212
2.1077975,-42.6461442698242
2.115295,-42.6215048718838
2.1227925,-42.5969853292602
2.13029,-42.5725848095349
2.1377875,-42.548302488692
2.145285,-42.5241375510022
2.1527825,-42.5000891889082
2.16028,-42.4761566029117
2.1677775,-42.4523390014634
2.175275,-42.4286356008533
2.1827725,-42.4050456251041
2.19027,-42.3815683058653
2.1977675,-42.3582028823099
2.205265,-42.3349486010316
2.2127625,-42.3118047159453
2.22026,-42.2887704881872
2.2277575,-42.2658451860181
2.235255,-42.2430280847275
2.2427525,-42.2203184665393
2.25025,-42.1977156205187
2.2577475,-42.1752188424812
2.265245,-42.1528274349025
2.2727425,-42.1305407068298
2.28024,-42.1083579737946
2.2877375,-42.0862785577268
2.295235,-42.0643017868704
2.3027325,-42.0424269956996
2.31023,-42.0206535248373
2.3177275,-41.9989807209738
2.325225,-41.9774079367876
2.3327225,-41.9559345308668
2.34022,-41.9345598676317
2.3477175,-41.9132833172588
2.355215,-41.8921042556059
2.3627125,-41.8710220641379
2.37021,-41.8500361298544
2.3777075,-41.8291458452175
2.385205,-41.8083506080815
2.3927025,-41.7876498216228
2.4002,-41.7670428942715
2.4076975,-41.7465292396437
2.415195,-41.7261082764747
2.4226925,-41.705779428553
2.43019,-41.6855421246559
2.4376875,-41.6653957984855
2.445185,-41.6453398886053
2.4526825,-41.6253738383785
2.46018,-41.6054970959066
2.4676775,-41.5857091139692
2.475175,-41.5660093499641
2.4826725,-41.546397265849
2.49017,-41.5268723280833
2.4976675,-41.5074340075712
2.505165,-41.4880817796057
2.5126625,-41.4688151238124
2.52016,-41.4496335240953
2.5276575,-41.430536468583
2.535155,-41.4115234495748
2.5426525,-41.3925939634887
2.55015,-41.3737475108098
2.5576475,-41.3549835960387
2.565145,-41.3363017276415
2.5726425,-41.317701418
2.58014,-41.2991821833629
2.5876375,-41.2807435437973
2.595135,-41.2623850231411
2.6026325,-41.244106148956
2.61013,-41.2259064524812
2.6176275,-41.2077854685877
2.625125,-41.1897427357329
2.6326225,-41.1717777959166
2.64012,-41.1538901946368
2.6476175,-41.1360794808465
2.655115,-41.118345206911
2.6626125,-41.1006869285659
2.67011,-41.0831042048753
2.6776075,-41.0655965981915
2.685105,-41.0481636741137
2.6926025,-41.030805001449
2.7001,-41.0135201521725
2.7075975,-40.996308701389
2.715095,-40.9791702272946
2.7225925,-40.9621043111389
2.73009,-40.9451105371881
2.7375875,-40.9281884926883
2.745085,-40.9113377678291
2.7525825,-40.8945579557084
2.76008,-40.8778486522971
2.7675775,-40.8612094564044
2.775075,-40.8446399696435
2.7825725,-40.8281397963986
2.79007,-40.8117085437909
2.7975675,-40.7953458216465
2.805065,-40.7790512424638
2.8125625,-40.7628244213821
2.82006,-40.7466649761499
2.8275575,-40.7305725270942
2.835055,-40.7145466970903
2.8425525,-40.6985871115315
2.85005,-40.6826933982997
2.8575475,-40.6668651877366
2.865045,-40.6511021126146
2.8725425,-40.6354038081088
2.88004,-40.6197699117695
2.8875375,-40.6042000634943
2.895035,-40.5886939055014
2.9025325,-40.5732510823033
2.91003,-40.5578712406803
2.9175275,-40.542554029655
2.925025,-40.527299100467
2.9325225,-40.5121061065478
2.94002,-40.4969747034968
2.9475175,-40.4819045490565
2.955015,-40.4668953030893
2.9625125,-40.4519466275541
2.97001,-40.4370581864831
2.9775075,-40.4222296459596
2.985005,-40.4074606740957
2.9925025,-40.3927509410103
3,-40.378100118808

