"Freq [GHz]","ang_rad(S(waveport2:1,antenna)) [rad]","ang_rad(S(waveport1:1,antenna)) [rad]"
0.001,-1.5718569056972,1.56967446447561
0.0084975,-1.57980857068908,1.56126796867612
0.015995,-1.5877603550549,1.55286106219153
0.0234925,-1.59571207089539,1.54445409689633
0.03099,-1.60366379171787,1.53604712481196
0.0384875,-1.61161551631743,1.52764014520063
0.045985,-1.61956724532614,1.51923315731472
0.0534825,-1.62751897983404,1.51082616008339
0.06098,-1.63547072123434,1.50241915228755
0.0684775,-1.64342247121241,1.49401213264345
0.075975,-1.65137423176633,1.48560509984185
0.0834725,-1.65932600523693,1.47719805256822
0.09097,-1.66727779434122,1.46879098951422
0.0984675,-1.67522960220722,1.46038390938501
0.105965,-1.68318141942075,1.45197681145543
0.1134625,-1.69113324897933,1.44356969380006
0.12096,-1.6990850942677,1.43516255488164
0.1284575,-1.70703695632974,1.42675539332637
0.135955,-1.71498883620176,1.41834820776219
0.1434525,-1.72294073491334,1.40994099681951
0.15095,-1.73089265348778,1.40153375913176
0.1584475,-1.73884459294238,1.39312649333587
0.165945,-1.74679655428859,1.38471919807271
0.1734425,-1.75474853853207,1.37631187198739
0.18094,-1.76270054667267,1.36790451372961
0.1884375,-1.77065257970436,1.35949712195395
0.195935,-1.77860463861517,1.35108969532014
0.2034325,-1.78655672438703,1.34268223249331
0.21093,-1.79450883799564,1.33427473214426
0.2184275,-1.80246098041035,1.32586719294968
0.225925,-1.81041315259396,1.31745961359238
0.2334225,-1.81836535550258,1.30905199276152
0.24092,-1.82631759008545,1.30064432915283
0.2484175,-1.83426985728474,1.29223662146884
0.255915,-1.84222215803542,1.28382886841905
0.2634125,-1.85017449326503,1.27542106872017
0.27091,-1.85812686389352,1.26701322109634
0.2784075,-1.86607927083309,1.25860532427927
0.285905,-1.87403171498796,1.2501973770085
0.2934025,-1.88198419725424,1.24178937803155
0.3009,-1.88993671851973,1.23338132610416
0.3083975,-1.89788927966371,1.22497321999043
0.315895,-1.90584188155684,1.21656505846303
0.3233925,-1.91379452506092,1.20815684030339
0.33089,-1.92174721102873,1.19974856430188
0.3383875,-1.9296999403039,1.19134022925796
0.345885,-1.93765271372067,1.1829318339804
0.3533825,-1.9456055321038,1.17452337728744
0.36088,-1.95355839626837,1.16611485800693
0.3683775,-1.96151130701961,1.15770627497655
0.375875,-1.96946426515276,1.14929762704394
0.3833725,-1.97741727145293,1.14088891306686
0.39087,-1.98537032669489,1.13248013191337
0.3983675,-1.99332343164299,1.124071282462
0.405865,-2.00127658705097,1.11566236360186
0.4133625,-2.00922979366184,1.10725337423282
0.42086,-2.01718305220773,1.09884431326568
0.4283575,-2.02513636340973,1.09043517962225
0.435855,-2.03308972797782,1.08202597223558
0.4433525,-2.04104314661064,1.07361669005003
0.45085,-2.04899661999549,1.06520733202143
0.4583475,-2.05695014880808,1.05679789711723
0.465845,-2.06490373371249,1.04838838431661
0.4733425,-2.07285737536104,1.03997879261061
0.48084,-2.08081107439414,1.03156912100228
0.4883375,-2.08876483144022,1.02315936850675
0.495835,-2.09671864711562,1.0147495341514
0.5033325,-2.10467252202446,1.00633961697597
0.51083,-2.11262645675855,0.997929616032611
0.5183275,-2.12058045189731,0.98951953038608
0.525825,-2.12853450800769,0.981109359113783
0.5333225,-2.13648862564402,0.972699101305905
0.54082,-2.144442805348,0.964288756065498
0.5483175,-2.15239704764857,0.955878322508575
0.555815,-2.16035135306184,0.947467799764211
0.5633125,-2.16830572209105,0.939057186974619
0.57081,-2.17626015522646,0.930646483295242
0.5783075,-2.1842146529453,0.922235687894831
0.585805,-2.19216921571171,0.913824799955525
0.5933025,-2.2001238439767,0.905413818672917
0.6008,-2.20807853817805,0.897002743256137
0.6082975,-2.21603329874032,0.888591572927904
0.615795,-2.22398812607474,0.880180306924599
0.6232925,-2.23194302057924,0.871768944496321
0.63079,-2.23989798263836,0.863357484906941
0.6382875,-2.24785301262322,0.854945927434156
0.645785,-2.25580811089153,0.846534271369535
0.6532825,-2.26376327778751,0.838122516018565
0.66078,-2.27171851364192,0.829710660700691
0.6682775,-2.27967381877201,0.82129870474935
0.675775,-2.28762919348153,0.812886647512009
0.6832725,-2.2955846380607,0.804474488350192
0.69077,-2.30354015278622,0.796062226639501
0.6982675,-2.31149573792126,0.787649861769645
0.705765,-2.31945139371548,0.779237393144455
0.7132625,-2.32740712040502,0.770824820181894
0.72076,-2.33536291821253,0.762412142314072
0.7282575,-2.34331878734717,0.753999358987249
0.735755,-2.35127472800464,0.745586469661841
0.7432525,-2.35923074036721,0.737173473812414
0.75075,-2.36718682460373,0.728760370927682
0.7582475,-2.37514298086969,0.720347160510496
0.765745,-2.38309920930724,0.711933842077832
0.7732425,-2.39105551004522,0.703520415160773
0.78074,-2.39901188319925,0.69510687930449
0.7882375,-2.40696832887173,0.686693234068215
0.795735,-2.41492484715192,0.678279479025213
0.8032325,-2.42288143811601,0.669865613762752
0.81073,-2.43083810182714,0.661451637882063
0.8182275,-2.43879483833553,0.653037550998302
0.825725,-2.44675164767847,0.644623352740506
0.8332225,-2.45470852988048,0.636209042751547
0.84072,-2.46266548495333,0.627794620688073
0.8482175,-2.47062251289614,0.619380086220465
0.855715,-2.47857961369548,0.610965439032764
0.8632125,-2.48653678732545,0.602550678822618
0.87071,-2.49449403374777,0.594135805301211
0.8782075,-2.50245135291188,0.585720818193193
0.885705,-2.51040874475506,0.577305717236606
0.8932025,-2.51836620920252,0.568890502182805
0.9007,-2.52632374616753,0.560475172796377
0.9081975,-2.53428135555149,0.552059728855055
0.915695,-2.54223903724412,0.543644170149628
0.9231925,-2.55019679112351,0.53522849648385
0.93069,-2.55815461705631,0.526812707674343
0.9381875,-2.56611251489782,0.518396803550493
0.945685,-2.57407048449211,0.509980783954351
0.9531825,-2.58202852567223,0.501564648740525
0.96068,-2.58998663826027,0.493148397776065
0.9681775,-2.59794482206755,0.484732030940354
0.975675,-2.60590307689476,0.476315548124984
0.9831725,-2.61386140253211,0.467898949233639
0.99067,-2.6218197987595,0.459482234181969
0.9981675,-2.62977826534664,0.451065402897461
1.005665,-2.63773680205327,0.442648455319304
1.0131625,-2.64569540862928,0.434231391398261
1.02066,-2.6536540848149,0.425814211096524
1.0281575,-2.66161283034087,0.417396914387573
1.035655,-2.66957164492863,0.408979501256036
1.0431525,-2.67753052829046,0.400561971697533
1.05065,-2.68548948012972,0.392144325718529
1.0581475,-2.69344850014098,0.383726563336179
1.065645,-2.70140758801026,0.375308684578168
1.0731425,-2.70936674341518,0.366890689482553
1.08064,-2.71732596602519,0.358472578097594
1.0881375,-2.72528525550172,0.350054350481591
1.095635,-2.73324461149846,0.341636006702715
1.1031325,-2.74120403366149,0.333217546838829
1.11063,-2.74916352162952,0.324798970977317
1.1181275,-2.75712307503409,0.316380279214903
1.125625,-2.7650826934998,0.307961471657472
1.1331225,-2.77304237664451,0.299542548419881
1.14062,-2.78100212407955,0.291123509625776
1.1481175,-2.78896193540997,0.282704355407398
1.155615,-2.79692181023473,0.274285085905396
1.1631125,-2.80488174814696,0.265865701268627
1.17061,-2.81284174873413,0.257446201653959
1.1781075,-2.82080181157836,0.249026587226075
1.185605,-2.82876193625659,0.240606858157265
1.1931025,-2.83672212234084,0.232187014627224
1.2006,-2.84468236939843,0.223767056822843
1.2080975,-2.85264267699225,0.215346984938002
1.215595,-2.86060304468096,0.206926799173356
1.2230925,-2.86856347201927,0.19850649973612
1.23059,-2.87652395855817,0.190086086839855
1.2380875,-2.88448450384516,0.18166556070425
1.245585,-2.89244510742451,0.173244921554899
1.2530825,-2.90040576883754,0.164824169623081
1.26058,-2.90836648762282,0.156403305145533
1.2680775,-2.91632726331645,0.147982328364229
1.275575,-2.92428809545231,0.139561239526146
1.2830725,-2.93224898356233,0.131140038883038
1.29057,-2.94020992717671,0.122718726691205
1.2980675,-2.94817092582422,0.114297303211258
1.305565,-2.95613197903245,0.105875768707885
1.3130625,-2.96409308632803,0.0974541234496151
1.32056,-2.97205424723695,0.0890323677085816
1.3280575,-2.98001546128478,0.0806105017602825
1.335555,-2.98797672799697,0.0721885258833394
1.3430525,-2.99593804689908,0.063766440359257
1.35055,-3.00389941751706,0.0553442454721797
1.3580475,-3.01186083937751,0.0469219415086492
1.365545,-3.01982231200796,0.0384995287573561
1.3730425,-3.02778383493713,0.0300770075088973
1.38054,-3.03574540769519,0.0216543780555271
1.3880375,-3.04370702981403,0.0132316406909095
1.395535,-3.05166870082753,0.00480879570987006
1.4030325,-3.05963042027184,-0.00361415659185483
1.41053,-3.06759218768564,-0.0120372159178672
1.4180275,-3.07555400261039,-0.0204603819713592
1.425525,-3.08351586459062,-0.0288836544553643
1.4330225,-3.09147777317421,-0.0373070330730091
1.44052,-3.09943972791262,-0.0457305175277662
1.4480175,-3.10740172836119,-0.0541541075237075
1.455515,-3.1153637740794,-0.062577802765757
1.4630125,-3.12332586463112,-0.0710016029599439
1.47051,-3.13128799958493,-0.0794255078136572
1.4780075,-3.1392501785143,-0.0878495170358994
1.485505,3.13597290618166,-0.0962736303375402
1.4930025,3.12801064055959,-0.10469784743157
1.5005,3.12004833220919,-0.113122168033355
1.5079975,3.11208598153457,-0.12154659186089
1.515495,3.10412358893354,-0.129971118635053
1.5229925,3.09616115479744,-0.138395748079856
1.53049,3.0881986795108,-0.146820479922701
1.5379875,3.08023616345111,-0.155245313894633
1.545485,3.07227360698855,-0.163670249730587
1.5529825,3.06431101048576,-0.172095287169648
1.56048,3.05634837429754,-0.180520425955293
1.5679775,3.04838569877065,-0.18894566583565
1.575475,3.04042298424351,-0.19737100656374
1.5829725,3.03246023104596,-0.205796447897732
1.59047,3.02449743949903,-0.214221989601188
1.5979675,3.01653460991467,-0.222647631443312
1.605465,3.00857174259551,-0.231073373199195
1.6129625,3.00060883783462,-0.23949921465006
1.62046,2.99264589591526,-0.247925155583508
1.6279575,2.98468291711066,-0.25635119579376
1.635455,2.97671990168373,-0.264777335081897
1.6429525,2.96875684988689,-0.273203573256106
1.65045,2.96079376196179,-0.281629910131912
1.6579475,2.95283063813908,-0.290056345532423
1.665445,2.94486747863821,-0.298482879288559
1.6729425,2.93690428366717,-0.306909511239296
1.68044,2.92894105342227,-0.315336241231889
1.6879375,2.92097778808795,-0.323763069122112
1.695435,2.91301448783652,-0.332189994774486
1.7029325,2.90505115282794,-0.340617018062502
1.71043,2.89708778320964,-0.349044138868856
1.7179275,2.8891243791163,-0.357471357085668
1.725425,2.8811609406696,-0.365898672614704
1.7329225,2.87319746797807,-0.374326085367603
1.74042,2.86523396113684,-0.382753595266086
1.7479175,2.85727042022747,-0.391181202242184
1.755415,2.84930684531774,-0.399608906238442
1.7629125,2.84134323646143,-0.408036707208139
1.77041,2.8333795936982,-0.416464605115492
1.7779075,2.82541591705332,-0.42489259993587
1.785405,2.81745220653754,-0.433320691655993
1.7929025,2.80948846214686,-0.441748880274142
1.8004,2.8015246838624,-0.450177165800353
1.8078975,2.79356087165021,-0.458605548256618
1.815395,2.78559702546108,-0.467034027677085
1.8228925,2.77763314523038,-0.47546260410824
1.83039,2.76966923087789,-0.48389127760911
1.8378875,2.76170528230768,-0.492320048251443
1.845385,2.75374129940787,-0.500748916119893
1.8528825,2.74577728205056,-0.509177881312208
1.86038,2.73781323009163,-0.517606943939401
1.8678775,2.7298491433706,-0.526036104125937
1.875375,2.7218850217105,-0.534465362009896
1.8828725,2.71392086491771,-0.542894717743153
1.89037,2.70595667278185,-0.551324171491541
1.8978675,2.69799244507561,-0.559753723435014
1.905365,2.69002818155468,-0.568183373767817
1.9128625,2.68206388195756,-0.576613122698636
1.92036,2.67409954600549,-0.585042970450759
1.9278575,2.66613517340229,-0.593472917262227
1.935355,2.65817076383429,-0.601902963385983
1.9428525,2.65020631697019,-0.610333109090021
1.95035,2.64224183246098,-0.618763354657524
1.9578475,2.63427730993981,-0.62719370038701
1.965345,2.62631274902191,-0.635624146592465
1.9728425,2.61834814930451,-0.644054693603476
1.98034,2.61038351036671,-0.652485341765364
1.9878375,2.60241883176945,-0.660916091439306
1.995335,2.59445411305538,-0.669346943002464
2.0028325,2.58648935374882,-0.677777896848102
2.01033,2.57852455335565,-0.6862089533857
2.0178275,2.57055971136328,-0.694640113041072
2.025325,2.56259482724057,-0.703071376256475
2.0328225,2.55462990043774,-0.711502743490711
2.04032,2.54666493038638,-0.719934215219235
2.0478175,2.53869991649932,-0.728365791934253
2.055315,2.53073485817064,-0.736797474144816
2.0628125,2.52276975477561,-0.745229262376915
2.07031,2.51480460567063,-0.75366115717357
2.0778075,2.50683941019322,-0.762093159094911
2.085305,2.49887416766197,-0.770525268718267
2.0928025,2.49090887737652,-0.778957486638241
2.1003,2.48294353861753,-0.787389813466783
2.1077975,2.47497815064667,-0.795822249833267
2.115295,2.46701271270658,-0.804254796384554
2.1227925,2.4590472240209,-0.812687453785059
2.13029,2.45108168379422,-0.821120222716813
2.1377875,2.44311609121209,-0.829553103879518
2.145285,2.43515044544102,-0.837986097990605
2.1527825,2.42718474562849,-0.84641920578528
2.16028,2.41921899090294,-0.854852428016574
2.1677775,2.41125318037378,-0.863285765455391
2.175275,2.40328731313144,-0.87171921889054
2.1827725,2.39532138824734,-0.880152789128778
2.19027,2.38735540477394,-0.888586476994843
2.1977675,2.37938936174475,-0.897020283331483
2.205265,2.37142325817437,-0.905454208999485
2.2127625,2.36345709305852,-0.913888254877696
2.22026,2.35549086537406,-0.922322421863047
2.2277575,2.34752457407905,-0.930756710870569
2.235255,2.33955821811279,-0.939191122833405
2.2427525,2.33159179639583,-0.947625658702824
2.25025,2.32362530783007,-0.956060319448225
2.2577475,2.31565875129878,-0.964495106057148
2.265245,2.30769212566666,-0.972930019535268
2.2727425,2.29972542977989,-0.981365060906398
2.28024,2.29175866246623,-0.989800231212485
2.2877375,2.28379182253501,-0.998235531513599
2.295235,2.27582490877726,-1.00667096288793
2.3027325,2.26785791996576,-1.01510652643176
2.31023,2.25989085485511,-1.02354222325946
2.3177275,2.25192371218178,-1.03197805450348
2.325225,2.24395649066423,-1.0404140213143
2.3327225,2.23598918900297,-1.04885012486043
2.34022,2.22802180588061,-1.05728636632837
2.3477175,2.220054339962,-1.06572274692258
2.355215,2.21208678989428,-1.07415926786546
2.3627125,2.20411915430696,-1.08259593039731
2.37021,2.19615143181203,-1.0910327357763
2.3777075,2.18818362100406,-1.0994696852784
2.385205,2.18021572046025,-1.10790678019739
2.3927025,2.17224772874058,-1.11634402184476
2.4002,2.16427964438784,-1.12478141154972
2.4076975,2.15631146592779,-1.13321895065911
2.415195,2.14834319186924,-1.14165664053738
2.4226925,2.14037482070412,-1.15009448256651
2.43019,2.13240635090761,-1.15853247814598
2.4376875,2.12443778093825,-1.16697062869272
2.445185,2.11646910923801,-1.17540893564101
2.4526825,2.10850033423241,-1.18384740044249
2.46018,2.10053145433064,-1.19228602456603
2.4676775,2.09256246792563,-1.20072480949774
2.475175,2.0845933733942,-1.20916375674084
2.4826725,2.0766241690971,-1.21760286781564
2.49017,2.06865485337919,-1.22604214425947
2.4976675,2.0606854245695,-1.2344815876266
2.505165,2.05271588098131,-1.24292119948819
2.5126625,2.04474622091234,-1.2513609814322
2.52016,2.03677644264476,-1.25980093506335
2.5276575,2.02880654444534,-1.26824106200304
2.535155,2.02083652456557,-1.27668136388928
2.5426525,2.0128663812417,-1.28512184237661
2.55015,2.00489611269491,-1.29356249913607
2.5576475,1.99692571713136,-1.30200333585506
2.565145,1.98895519274231,-1.31044435423735
2.5726425,1.98098453770421,-1.31888555600295
2.58014,1.97301375017878,-1.32732694288809
2.5876375,1.96504282831314,-1.33576851664508
2.595135,1.95707177023987,-1.34421027904234
2.6026325,1.94910057407709,-1.35265223186424
2.61013,1.94112923792858,-1.36109437691108
2.6176275,1.93315775988384,-1.36953671599902
2.625125,1.92518613801818,-1.37797925095999
2.6326225,1.91721437039276,-1.38642198364167
2.64012,1.90924245505475,-1.39486491590739
2.6476175,1.90127039003731,-1.40330804963606
2.655115,1.89329817335971,-1.41175138672214
2.6626125,1.88532580302738,-1.42019492907558
2.67011,1.87735327703197,-1.42863867862174
2.6776075,1.8693805933514,-1.43708263730133
2.685105,1.86140774994994,-1.4455268070704
2.6926025,1.85343474477822,-1.45397118990024
2.7001,1.84546157577329,-1.46241578777736
2.7075975,1.83748824085867,-1.47086060270342
2.715095,1.82951473794437,-1.47930563669523
2.7225925,1.82154106492691,-1.48775089178466
2.73009,1.81356721968938,-1.49619637001862
2.7375875,1.8055932001014,-1.50464207345902
2.745085,1.79761900401919,-1.51308800418277
2.7525825,1.78964462928553,-1.52153416428171
2.76008,1.7816700737298,-1.5299805558626
2.7675775,1.77369533516793,-1.53842718104709
2.775075,1.76572041140243,-1.54687404197174
2.7825725,1.75774530022232,-1.55532114078796
2.79007,1.74976999940316,-1.56376847966201
2.7975675,1.74179450670696,-1.57221606077502
2.805065,1.7338188198822,-1.58066388632298
2.8125625,1.72584293666371,-1.58911195851673
2.82006,1.71786685477267,-1.59756027958198
2.8275575,1.7098905719165,-1.60600885175931
2.835055,1.70191408578883,-1.61445767730422
2.8425525,1.69393739406938,-1.62290675848714
2.85005,1.68596049442389,-1.63135609759345
2.8575475,1.67798338450401,-1.63980569692351
2.865045,1.67000606194719,-1.64825555879276
2.8725425,1.66202852437657,-1.65670568553167
2.88004,1.65405076940084,-1.6651560794859
2.8875375,1.64607279461411,-1.67360674301629
2.895035,1.63809459759576,-1.68205767849894
2.9025325,1.63011617591025,-1.69050888832532
2.91003,1.62213752710702,-1.6989603749023
2.9175275,1.61415864872022,-1.7074121406523
2.925025,1.60617953826861,-1.71586418801333
2.9325225,1.59820019325528,-1.72431651943911
2.94002,1.59022061116746,-1.73276913739922
2.9475175,1.58224078947631,-1.74122204437918
2.955015,1.57426072563667,-1.74967524288056
2.9625125,1.5662804170868,-1.75812873542119
2.97001,1.55829986124812,-1.76658252453523
2.9775075,1.55031905552494,-1.77503661277339
2.985005,1.54233799730416,-1.78349100270302
2.9925025,1.53435668395497,-1.79194569690836
3,1.52637511282854,-1.80040069799066

